	Unnamed: 0	spearman
0	Vision	0.06718327332457152
1	Bright	0.3573841979064103
2	Dark	0.17260931318357645
3	Color	0.13027487850084113
4	Pattern	0.20139018387296576
5	Large	0.08864411280743134
6	Small	0.22605769470175924
7	Motion	0.2502242685304279
8	Biomotion	0.1282710434882578
9	Fast	0.068142481116434
10	Slow	0.08209175534582938
11	Shape	0.10560520688551145
12	Face	0.10459512429600354
13	Body	0.050009739889983085
14	Touch	0.20326061135685242
15	Pain	-0.04753590005559877
16	Audition	0.1411347503337152
17	Loud	0.09654204448440429
18	Low	-0.04986093913367509
19	High	0.2475717689881743
20	Sound	0.07572150135876404
21	Music	0.04091100232361622
22	Speech	0.20079990992646363
23	Taste	0.025654108023807964
24	Smell	-0.10028355442105324
25	Head	0.24345228008365483
26	UpperLimb	0.08404637479897614
27	LowerLimb	0.15882083921862528
28	Landmark	0.02072430185067131
29	Path	-0.022267929165849742
30	Scene	0.040824602000767374
31	Near	0.09036105347724094
32	Toward	0.08180527903692636
33	Away	0.1484989898057974
34	Number	0.10271126443111792
35	Time	-0.1291399965389128
36	Duration	-0.07105622068805928
37	Long	-0.05628403469981158
38	Short	0.06100040162660236
39	Consequential	-0.01410836910096791
40	Social	0.06722207851712997
41	Human	0.30546871400121833
42	Communication	0.28455666332649054
43	Self	0.05723557601659085
44	Cognition	0.07693013288808215
45	Benefit	0.053293578164935296
46	Harm	-0.0602060444239505
47	Pleasant	0.0313933773879988
48	Unpleasant	-0.09171036255767973
49	Happy	0.06090999162836913
50	Sad	-0.07774152551713359
51	Angry	-0.12050115773488773
52	Disgusted	-0.011829374647999102
53	Fearful	-0.025192876023444666
54	Surprised	0.21473272107853728
55	Drive	0.027914502101550498
56	Needs	0.07914700412821907
57	Attention	0.010681649247850367
58	Arousal	0.00408630595290016
