	Unnamed: 0	spearman
0	Vision	0.254703592230122
1	Bright	0.07059930821802163
2	Dark	0.08548322798006966
3	Color	0.19307743211923767
4	Pattern	0.13582076511840213
5	Large	0.15260583353610502
6	Small	0.21612405181196864
7	Motion	0.2381126329933046
8	Biomotion	0.04192142425216949
9	Fast	0.1617923754949781
10	Slow	0.19671121861440388
11	Shape	0.2583455893690261
12	Face	-0.015816624178704608
13	Body	0.18498424907549826
14	Touch	0.291221818879985
15	Pain	0.08443465076921092
16	Audition	0.15712873319735993
17	Loud	0.13106888269325356
18	Low	0.4824826622579352
19	High	0.19205001207825295
20	Sound	0.2084500164413972
21	Music	0.20107209876398546
22	Speech	-0.03643443306171734
23	Taste	0.1964800613764079
24	Smell	0.3016248786443585
25	Head	0.0916489233659245
26	UpperLimb	0.29463027203827713
27	LowerLimb	0.1027509422642563
28	Landmark	0.24078808359476975
29	Path	0.42274141670367293
30	Scene	0.4500205774350683
31	Near	0.21768137935921325
32	Toward	0.5277813018486675
33	Away	0.5536122551380188
34	Number	0.16856807237037819
35	Time	0.01913852435407809
36	Duration	0.23567518662076564
37	Long	0.2516803499975892
38	Short	0.13111325127558832
39	Consequential	0.3450360831077498
40	Social	0.16208976365297822
41	Human	0.4988084451217464
42	Communication	0.12908778465410065
43	Self	0.06074314010205889
44	Cognition	0.10351020327252558
45	Benefit	0.2876222460080994
46	Harm	0.09889116392246888
47	Pleasant	0.09535421134919636
48	Unpleasant	0.03215839251921737
49	Happy	0.11805586078172559
50	Sad	0.10910251146721822
51	Angry	0.019784327923351386
52	Disgusted	0.09019210664423466
53	Fearful	0.0730057760734033
54	Surprised	0.521757709764275
55	Drive	0.21630377159059339
56	Needs	0.2241297313658714
57	Attention	0.10402626372971058
58	Arousal	0.2564227951004351
