model	comparison	average_gap	max_dim	maximum	min_dim	minimum
mBERT	ZH-EN2ZH	0.07613861638486491	Bright	0.3573841979064103	Time	-0.1291399965389128
mBERT	EN-ZH2EN	0.19725351327444507	Away	0.5536122551380188	Speech	-0.03643443306171734
mGPT	ZH-EN2ZH	0.07278699049875623	UpperLimb	0.2778509433735246	Arousal	-0.13698810552737406
mGPT	EN-ZH2EN	0.24067020160147254	Long	0.5585019092474216	Small	0.011746058690688732
