	Unnamed: 0	spearman
0	Vision	0.40883273331572123
1	Bright	0.02236267438981321
2	Dark	0.08105155562595229
3	Color	0.06868695178394346
4	Pattern	0.11836418914534846
5	Large	0.24164740026835435
6	Small	0.011746058690688732
7	Motion	0.20573128740964808
8	Biomotion	0.0972302150322652
9	Fast	0.18350094508492687
10	Slow	0.21315561091469876
11	Shape	0.389702895410939
12	Face	0.06434333862945774
13	Body	0.2410086642800852
14	Touch	0.3388953211387684
15	Pain	0.09925487859591936
16	Audition	0.17243008611562616
17	Loud	0.2083534123857016
18	Low	0.23436398035576525
19	High	0.14491798860024235
20	Sound	0.21296914346109652
21	Music	0.1553042891913544
22	Speech	0.10448594275476786
23	Taste	0.04324468088592276
24	Smell	0.18659482863423638
25	Head	0.05063192117019927
26	UpperLimb	0.17062789965726624
27	LowerLimb	0.09535538237628832
28	Landmark	0.20958815699673544
29	Path	0.4727883712489528
30	Scene	0.5527907479608232
31	Near	0.27238321203863697
32	Toward	0.18191074491491613
33	Away	0.3243063194325302
34	Number	0.1507702329855307
35	Time	0.33735490822892744
36	Duration	0.5520219200901253
37	Long	0.5585019092474216
38	Short	0.4385892889590973
39	Consequential	0.3491341687626414
40	Social	0.1593575847255846
41	Human	0.12277071022703906
42	Communication	0.2716647725419465
43	Self	0.3530035102199921
44	Cognition	0.4601509451086868
45	Benefit	0.3123432320272286
46	Harm	0.23117029378749088
47	Pleasant	0.2277141891569246
48	Unpleasant	0.1409506311769615
49	Happy	0.1966435684232728
50	Sad	0.22953476487759486
51	Angry	0.21171421698572218
52	Disgusted	0.16286221036007378
53	Fearful	0.22035527054728787
54	Surprised	0.5324988281985346
55	Drive	0.32691947914375497
56	Needs	0.30628871607485114
57	Attention	0.33180968194754207
58	Arousal	0.4368550327850539
