20	21	22	23	24	25	26	27	28	29	30
0.073	0.091	0.089	0.092	0.094	0.074	0.074	0.075	0.075	0.072	0.07
0.3	0.32	0.324	0.335	0.346	0.343	0.345	0.354	0.356	0.355	0.357
0.295	0.307	0.311	0.32	0.328	0.326	0.33	0.338	0.339	0.338	0.34
0.305	0.335	0.337	0.35	0.365	0.362	0.362	0.372	0.374	0.375	0.376
0.3	0.32	0.324	0.335	0.346	0.343	0.345	0.354	0.356	0.355	0.357
