	Away	Surprised
noun	{'mse': 5.94328836698484, 'rho': 0.13408858279524663}	{'mse': 18.779219990106906, 'rho': -0.10035285275968683}
verb	{'mse': 2.6797973115142364, 'rho': 0.012421152125856698}	{'mse': 21.39770369528576, 'rho': -0.0045013754220050075}
adj.	{'mse': 8.881289959288848, 'rho': -0.29702369509398946}	{'mse': 28.843786270091698, 'rho': -0.15396295250454867}
