	Away	Surprised
noun	{'mse': 2.420931059285134, 'rho': -0.13595061226989677}	{'mse': 3.0453974130982955, 'rho': 0.06276782968739418}
verb	{'mse': 2.0290782634665514, 'rho': 0.06243921437762862}	{'mse': 3.553363561265264, 'rho': 0.033788101933074625}
adj.	{'mse': 3.5943087638325313, 'rho': -0.26756428975235663}	{'mse': 4.617567605189051, 'rho': 0.2632857590166542}
