	Away	Surprised
noun	{'mse': 2.451891972341378, 'rho': 0.029430910505117522}	{'mse': 4.399232169341918, 'rho': 0.08069499103661393}
adj.	{'mse': 4.199694386680356, 'rho': 0.13561556592479043}	{'mse': 6.9740834706115855, 'rho': -0.31351902753008143}
verb	{'mse': 2.349361642662519, 'rho': -0.008508151102729226}	{'mse': 6.161028700243987, 'rho': -0.2895144702276613}
