	Away	Surprised
noun	{'mse': 25.817502160890836, 'rho': -0.07358634258918044}	{'mse': 14.553867115704588, 'rho': -0.058423866805925824}
adj.	{'mse': 38.453546672860796, 'rho': 0.1591128111036936}	{'mse': 9.996814627092485, 'rho': -0.26359497049767505}
verb	{'mse': 26.434720772495858, 'rho': 0.22588994989582817}	{'mse': 14.961054012285317, 'rho': -0.26916894606788216}
