	mse	rho
friendly	21.940742803464907	0.37176809363086494
fun	17.869794863823078	0.17831305009815035
funeral	8.194403171728695	0.4683115348950094
garden	15.369741809119263	0.1298838060845108
gasp	36.231275464987355	0.26691027156111186
gave	15.64888116462553	0.06725048972541907
girl	17.356511824592342	0.18112969054026737
glass	24.721088620682337	0.1380943410829544
goldfish	14.291833147963295	-0.02306511883877539
gong	22.512981533732166	0.2829458018143427
gratitude	26.740464744164015	0.1994095535373701
green	17.69929129648017	0.002368490753267068
grew	17.739808733790962	0.11117283191046946
grief	22.86210308330699	0.5276251493957569
grievance	19.36978829423584	0.3994270405934734
guard	20.468112288071072	0.4650143287731409
guilt	18.391373884571983	0.4895722349781432
gum	21.348914165423892	0.3252959263142653
gunshot	26.444553702378496	0.4273287684557003
hailstorm	18.612560480021173	0.2054632428936769
hair	18.72415539588896	0.013504034041591308
hairbrush	18.58948742700866	0.3426583824726015
hall	14.48958322611671	0.07279531723624828
ham	15.318702129505755	-0.08753235122310082
hamster	15.010049603649744	-0.09341615131295362
hand	16.905886920101583	0.08149306771264334
handshake	16.86751199091208	0.15047792166672258
happy	16.26906918156702	0.26264486714802965
harmonica	18.173895492868354	0.3475210690906287
harp	18.28296652457384	0.3919029690964656
hawk	16.600952539925753	0.201120156323741
heavy	21.704302804430924	0.3285817278730467
held	18.619987333783545	0.07920706390969597
helped	15.879845562017962	0.08357572420748659
heredity	13.952179981141011	0.20692683295077863
heroism	17.421776037996416	0.541662429232578
hierarchy	19.827521191443	0.4101492468733029
highway	18.513971042810898	0.07204442572908033
hiked	13.835137071766605	0.1451648461341945
hoe	19.992720482518216	-0.08150259990178173
home	16.698274501952813	0.22010170830785905
honey	15.475752788012397	0.14355662115278955
honeymoon	17.88132935382874	0.3177665928738764
hope	23.642330256274672	-0.12137689913636934
horse	15.748182891874405	0.08088633399164581
hospital	13.284274692956048	0.19308168176940618
hot	15.49258461880176	-0.07712210717639477
hotel	15.092058188253882	0.2026045492180787
hurricane	27.8399895213734	0.5776595850839394
hygiene	14.262536247657176	0.29984654490408
ice	22.560429469222324	-0.05694741253762722
infinity	20.772614738644567	0.034534695683044146
injured	15.58615798379178	0.4718507188537
insult	20.47517322355922	0.6454847253580712
intellect	15.046606851192388	0.3128335183543317
interviewed	14.352377722163926	0.4996346137990693
ire	26.61341069228901	0.5157914895470962
irony	31.426916255494955	0.6004004849958918
island	13.363611348441447	0.05066214883352566
ivy	16.75789995896586	0.09193218749969301
jam	19.182617235564486	0.46037594826488665
jaw	15.917033110117083	0.2100709049118377
jealousy	28.933510373381406	0.4921080457234443
joke	18.819860902584164	0.42338775043225824
journalist	18.170707427717435	0.5038808806022914
joviality	32.77912505009835	-0.09636969747862889
joy	18.549013582456986	0.3234339944138083
judge	16.725637287845082	0.35165157889389725
jungle	13.587823158212446	0.20803555266386378
jury	13.037017053725522	0.4342614240661633
ketchup	17.793898813054952	0.4287927689771055
key	18.60148744967015	0.4628541927741784
keyboard	16.68186444298395	0.3803399559099408
kicked	23.485319907295334	0.12254802533764546
kiss	18.867909877292472	0.06126684611760889
kitchen	14.665821588492955	0.31502025446936344
knowledge	18.71664979622066	0.41246968776983733
