,mean,std
bert-base-chinese,0.43064717365713606,0.11510779438826085
bert-base-multilingual-cased,0.37098452171876933,0.11750330335710146
gpt2-chinese-cluecorpussmall,0.4127234007679427,0.1041124351945186
mGPT,0.4342165490744917,0.12767739788022625
